region,division,state,county,stname,ctyname,year,popestimate,births,deaths,rbirth,rdeath
"3","6","01","000","Alabama","Alabama",2021,5050380,57184,69135,11.343507,13.714209
"3","6","01","001","Alabama","Autauga County",2021,59203,686,696,11.615503,11.784825
"3","6","01","003","Alabama","Baldwin County",2021,239439,2337,2948,9.8885899,12.473925
"3","6","01","005","Alabama","Barbour County",2021,24533,270,390,10.90865,15.756939
"3","6","01","007","Alabama","Bibb County",2021,22359,240,325,10.775136,14.591331
"3","6","01","009","Alabama","Blount County",2021,59079,654,875,11.067301,14.807168
"3","6","01","011","Alabama","Bullock County",2021,10143,111,160,10.89731,15.707834
"3","6","01","013","Alabama","Butler County",2021,18890,227,297,11.974153,15.666623
"3","6","01","015","Alabama","Calhoun County",2021,115678,1250,1843,10.779532,15.893343
"3","6","01","017","Alabama","Chambers County",2021,34488,392,592,11.339476,17.124922
"3","6","01","019","Alabama","Cherokee County",2021,25074,254,442,10.15127,17.664808
"3","6","01","021","Alabama","Chilton County",2021,45259,534,659,11.825148,14.593206
"3","6","01","023","Alabama","Choctaw County",2021,12548,131,205,10.407563,16.286646
"3","6","01","025","Alabama","Clarke County",2021,22740,300,435,13.12135,19.025959
"3","6","01","027","Alabama","Clay County",2021,14170,142,268,10.006342,18.885208
"3","6","01","029","Alabama","Cleburne County",2021,15156,176,261,11.647915,17.273329
"3","6","01","031","Alabama","Coffee County",2021,54199,726,733,13.475888,13.605821
"3","6","01","033","Alabama","Colbert County",2021,57644,656,880,11.413857,15.311271
"3","6","01","035","Alabama","Conecuh County",2021,11320,114,226,9.9676485,19.760427
"3","6","01","037","Alabama","Coosa County",2021,10314,82,180,7.9422731,17.434258
"3","6","01","039","Alabama","Covington County",2021,37570,455,710,12.121051,18.914167
"3","6","01","041","Alabama","Crenshaw County",2021,13069,145,240,11.0552,18.298262
"3","6","01","043","Alabama","Cullman County",2021,89639,998,1345,11.227675,15.131487
"3","6","01","045","Alabama","Dale County",2021,49395,673,700,13.64392,14.191298
"3","6","01","047","Alabama","Dallas County",2021,37515,437,686,11.54771,18.127527
"3","6","01","049","Alabama","DeKalb County",2021,71912,828,1071,11.534363,14.919448
"3","6","01","051","Alabama","Elmore County",2021,88789,914,1070,10.348146,12.11435
"3","6","01","053","Alabama","Escambia County",2021,36660,441,659,12.025359,17.969868
"3","6","01","055","Alabama","Etowah County",2021,103010,1097,1880,10.626601,18.211496
"3","6","01","057","Alabama","Fayette County",2021,16127,181,320,11.152875,19.717789
"3","6","01","059","Alabama","Franklin County",2021,31998,388,486,12.110619,15.169486
"3","6","01","061","Alabama","Geneva County",2021,26620,271,531,10.165422,19.918226
"3","6","01","063","Alabama","Greene County",2021,7614,110,151,14.36594,19.720518
"3","6","01","065","Alabama","Hale County",2021,14726,183,269,12.40762,18.238525
"3","6","01","067","Alabama","Henry County",2021,17433,159,274,9.1902199,15.837234
"3","6","01","069","Alabama","Houston County",2021,107470,1300,1579,12.106875,14.705197
"3","6","01","071","Alabama","Jackson County",2021,52719,526,963,9.9939203,18.296854
"3","6","01","073","Alabama","Jefferson County",2021,669990,7890,9170,11.734899,13.638659
"3","6","01","075","Alabama","Lamar County",2021,13736,167,262,12.062551,18.924482
"3","6","01","077","Alabama","Lauderdale County",2021,94853,926,1425,9.8052711,15.089106
"3","6","01","079","Alabama","Lawrence County",2021,33073,370,607,11.184668,18.348902
"3","6","01","081","Alabama","Lee County",2021,177596,1786,1407,10.137648,7.9863772
"3","6","01","083","Alabama","Limestone County",2021,107303,1098,1187,10.382684,11.224268
"3","6","01","085","Alabama","Lowndes County",2021,9945,125,181,12.357884,17.894217
"3","6","01","087","Alabama","Macon County",2021,18905,193,294,10.060205,15.324872
